config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features
5,800,4,1,0.7,20.0,False,1242.5060594292045,776.6412451991883,0.983714097213458,-1.0782030260621226e-13,2189.711701485827,1294.0221101861075,0.9492291063996319,3.4289386054687707,16.0
3,1000,4,1,0.5,30.0,False,867.355830806792,520.0879171120027,0.9920619254430811,1.0656453182580724e-14,2205.6433153631606,1283.20164509002,0.948493450602686,3.314255532532994,16.0
10,600,2,1,0.7,30.0,False,253.99608933993431,74.56058223943407,0.9993192537279028,-4.683336349032357e-14,2212.481354990424,1304.0964341298431,0.9481649107096782,8.783085951009195,16.0
7,1000,4,2,0.7,20.0,False,1455.7918817678426,898.4887255026277,0.9776421446919921,1.7821467758478447e-13,2240.712672881023,1309.5262686585893,0.9468499327464157,0.12071460568094272,16.0
19,1000,2,2,0.7,20.0,False,1455.7918817678426,898.4887255026276,0.9776421446919921,1.8026696355890095e-13,2240.712672881023,1309.5262686585893,0.9468499327464157,0.1207146056809405,16.0
9,800,4,2,0.7,20.0,False,1455.9971702029068,898.7387384778715,0.9776358266528091,-5.4266761668325825e-14,2241.258541496151,1309.8714910841163,0.946825182578392,0.40723747992820636,16.0
11,800,2,1,0.5,,False,131.6195746113547,8.87903686579919,0.999816982658003,-5.631487129365567e-14,2254.605583780604,1323.0473553849952,0.9461925450481045,6.408414409418,16.0
6,1000,4,2,0.5,,False,1385.8644979745786,837.3352026118207,0.9797379156595568,1.5232057056871422e-13,2272.865298335971,1310.9359947666549,0.9453260600114275,-0.5464016650628842,16.0
15,600,2,2,0.5,,False,1385.5876701203742,837.313748761022,0.9797458885846541,-3.3120297130461084e-13,2273.313457806131,1311.1856380399668,0.945306301160528,-0.7463617609870727,16.0
2,800,2,1,sqrt,30.0,False,483.459123461107,231.4619166029218,0.9975341644050324,1.146145850010056e-13,2333.9979369937173,1341.3557854916448,0.9423936827577304,0.19178606109185914,16.0
1,1000,2,4,0.7,30.0,False,1809.2651285375932,1058.460156832175,0.965468078705698,9.705433335347138e-13,2343.4333129278166,1344.5580251985102,0.9419029265276727,-1.8637166656302493,16.0
8,600,4,4,0.7,,False,1809.3502652258803,1058.5719296304164,0.9654651045700164,-6.274765559642106e-13,2345.147569120339,1345.0542038839367,0.9418157107266856,-1.3494137607162728,16.0
18,1000,2,4,0.7,20.0,False,1887.9560670324047,1120.576489693428,0.9624002818511065,8.482633951224047e-13,2364.954099160186,1364.4223944015125,0.9408342601609655,-2.06850639286212,16.0
16,600,2,4,0.5,,False,1985.7887333417038,1169.9859618117407,0.9584029824362931,-4.0199968259828897e-13,2442.5519115667876,1401.866006659338,0.936911849541123,-2.0699142139027957,16.0
17,1000,4,4,0.5,30.0,False,1986.9180301765537,1170.4518930351755,0.9583557906739297,9.789029349632433e-13,2443.037761510519,1401.9034389276098,0.9368826826806316,-1.8874285360588328,16.0
12,600,2,4,0.5,20.0,False,2068.000902537144,1236.8722790595248,0.9548880295821989,-1.373086022358112e-13,2472.9483537908472,1432.7878917360035,0.935330344147689,-2.509434324606168,16.0
4,800,2,1,sqrt,20.0,False,1665.0795182341058,1096.3711212420897,0.9707555583997207,1.9626295459576293e-13,2496.1084941812887,1513.5611859684411,0.9341642806386686,-2.4374513925377292,16.0
20,800,4,4,sqrt,,False,2912.1711890934266,1818.8675292001758,0.910539715148353,4.668949588826242e-13,3134.6121437212614,1916.1054848011727,0.8962563469069164,-1.7930513810950188,16.0
13,600,4,4,sqrt,,False,2914.5272430848227,1820.2853241083822,0.9103947393068528,2.7760389684804017e-14,3136.5077992739725,1917.4965578049007,0.8961401337501141,-1.6743193074902898,16.0
14,600,2,4,sqrt,20.0,False,2997.78597997847,1900.8895280858637,0.9052041299585536,1.648051242877882e-13,3196.678409914296,1982.605594541297,0.8921161555995722,-2.246120428035325,16.0
