variant,config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features_total,avg_features_selected,combo_score
v1_original_price,10,0.4,0.00022539339047347913,4157.77507590988,2647.107414407401,0.817656624625404,-8.711350770629203e-14,4183.249508112975,2653.4107009407676,0.8153573523496397,-0.05574656040500692,16.0,16.0,3418.330104526871
v1_original_price,2,0.5,0.00022539339047347913,4157.7742698125385,2647.12649551475,0.8176566953458042,3.290407536809706e-13,4183.250967487855,2653.4317928961304,0.8153572279250598,-0.055941856631470444,16.0,16.0,3418.3413801919924
v1_original_price,6,0.6,0.00015013107289081726,4157.772305737314,2647.1722873652707,0.8176568676684516,2.7038696383471916e-13,4183.257790669231,2653.485360542584,0.8153566391800953,-0.05632296565483319,16.0,16.0,3418.3715756059078
v1_original_price,11,0.5,0.0011450475699382812,4157.79648142788,2646.7582777838543,0.8176547469672388,-2.841173906044449e-13,4183.260193932895,2653.0519289251433,0.8153563511961914,-0.053019067619628046,16.0,16.0,3418.1560614290192
v1_original_price,12,0.8,0.003874675120456132,4157.810841417984,2646.6059581101695,0.8176534873783892,-4.403346171502095e-13,4183.274540845531,2652.897176945954,0.8153550598823512,-0.052148295888511775,16.0,16.0,3418.0858588957426
v1_original_price,5,0.2,0.0017190722018585747,4157.863227677501,2646.18189911222,0.8176488922980163,-8.100500584645421e-13,4183.331530604571,2652.472463194577,0.8153499559832749,-0.050349450920339045,16.0,16.0,3417.9019968995735
v1_original_price,9,0.4,0.002580861540418077,4157.880662462734,2646.064023833846,0.8176473629855967,-1.318281526204928e-12,4183.3510270239785,2652.35571628941,0.8153482130610568,-0.04993478602686707,16.0,16.0,3417.8533716566944
v1_original_price,13,0.8,0.008733261623828438,4157.902163417528,2645.9298193237537,0.8176454769933948,1.4993237136284202e-14,4183.375197120749,2652.2225299616066,0.8153460532705337,-0.04947845472819079,16.0,16.0,3417.798863541178
v1_original_price,8,0.3,0.002580861540418077,4157.907822980047,2645.8931626167177,0.8176449805534947,-2.0418728889067661e-13,4183.381690882445,2652.1860506152743,0.8153454736152805,-0.049399942603880476,16.0,16.0,3417.7838707488595
v1_original_price,3,0.4,0.005817091329374358,4158.113817330943,2644.857888599861,0.8176269107486762,2.4885781424391136e-13,4183.618533622264,2651.169633209286,0.8153243515908436,-0.047274897639816515,16.0,16.0,3417.394083415775
v1_original_price,15,0.6,0.013111339374215644,4158.369292856765,2643.878869572505,0.817604498965099,2.3566142583930185e-14,4183.913889083902,2650.1916711910426,0.8152980618340158,-0.04637102901767243,16.0,16.0,3417.0527801374724
v1_original_price,1,0.7,0.02955209235202888,4159.0052259696,2642.0801897281926,0.8175487047069387,-4.588498045479078e-13,4184.640473282125,2648.418461142145,0.8152335116795064,-0.046002294388638454,16.0,16.0,3416.529467212135
v1_original_price,4,0.3,0.013111339374215644,4159.063655383357,2641.9445713862224,0.817543578091604,-8.261802999528112e-13,4184.707384973337,2648.285309707925,0.8152275734481738,-0.04595498032930667,16.0,16.0,3416.496347340631
v1_original_price,14,0.7,0.06660846290809161,4161.66744846974,2637.9858932309357,0.8173150419734425,-4.2705566274247713e-13,4187.597069380568,2644.359620677294,0.8149714252975632,-0.045923231080786664,16.0,16.0,3415.9783450289315
v1_original_price,7,0.6,0.06660846290809161,4163.645453846946,2636.1941869131197,0.8171413380307192,-3.2006781134245375e-13,4189.747570963129,2642.6171129981167,0.8147809217273094,-0.045386957129007754,16.0,16.0,3416.182341980623
