config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R7_iter800_lr0.087_l21.24_leaf127,2155.4830573434006,1682.1972584604655,1258.6129106420995,1021.1168547210915,0.9507694877394284,0.9701079763841758,100.62673097358375,83.81358869818362,15.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2169.076284394934,1734.0079608811589,1264.628694148499,1042.2652385602992,0.9502025726460616,0.9682103974500306,101.26057303442181,86.19512100891414,15.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R1_iter600_lr0.128_l20.61_leaf127,2170.905088071505,1756.336220201973,1270.3131441954542,1055.350786061868,0.9501310320318278,0.9674070269449433,101.95773271854557,85.96710583627916,15.0,25.0,40,127,600,25.0,0.12789473684210526,0.6052631578947368,255,42
R5_iter1000_lr0.132_l22.29_leaf127,2172.315149309982,1749.8028175149952,1267.338090279844,1051.7398275852192,0.9500718322694663,0.9676756113608564,104.7417732287081,86.59562504504548,15.0,25.0,30,127,1000,,0.13157894736842105,2.289473684210526,255,42
R9_iter600_lr0.098_l22.29_leaf127,2174.5262653104355,1763.9020056775257,1267.838812167334,1058.5491707294777,0.949954173681982,0.9671523926999709,103.40236373188961,87.30527775963385,15.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R6_iter1000_lr0.121_l22.39_leaf127,2179.542595649209,1743.439465123087,1271.2647565104076,1054.6830001626986,0.9496801784681037,0.9678578761462007,105.86180818244353,87.99607297956959,15.0,25.0,20,127,1000,25.0,0.12052631578947368,2.394736842105263,255,42
R4_iter1000_lr0.087_l21.76_leaf31,2185.1524507304875,1875.7296147147392,1288.360921021594,1149.2063228936327,0.9494927617277438,0.9628731016218658,110.91070802778972,98.56420026458818,15.0,25.0,20,31,1000,,0.08736842105263158,1.763157894736842,255,42
R2_iter600_lr0.102_l22.29_leaf31,2194.6751689248717,1929.8104465864317,1304.7530213836499,1182.1530484653504,0.949073220693313,0.9607102584405025,113.24393413030415,102.17930910755778,15.0,25.0,20,31,600,25.0,0.10210526315789473,2.289473684210526,255,42
R8_iter1000_lr0.121_l21.66_leaf63,2196.0249307984973,1856.7258577853286,1292.059504358022,1130.3106386166505,0.9489720947588238,0.9635858642577233,105.51641866181444,93.31448834036428,15.0,25.0,30,63,1000,10.0,0.12052631578947368,1.6578947368421053,255,42
R0_iter600_lr0.106_l21.24_leaf31,2227.9232402107923,1980.7126737031183,1315.266041327729,1203.8234586340382,0.9474910432996784,0.9586049049949927,110.7467616739892,103.73369460704002,15.0,25.0,40,31,600,15.0,0.10578947368421052,1.236842105263158,255,42
