config_id,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
15,4.0554607358408274,4157.772337760491,2647.1714999998444,0.8176568648586583,-9.649959287431899e-13,4183.257624220869,2653.484397534474,0.8153566536155554,-0.05632648687213582,3418.3710108776713
12,3.072112998861753,4157.771748321861,2647.18478541621,0.8176569165771093,-1.2962910566110837e-12,4183.261106353611,2653.5011854777877,0.8153563515499608,-0.05635220684564057,3418.381145915699
16,2.1711179456945007,4157.7711986569575,2647.197168592393,0.8176569648066194,5.332480388490632e-14,4183.265512069133,2653.517804228686,0.8153559686556472,-0.05627828635621679,3418.3916581489098
9,1.762914118095948,4157.77095376637,2647.202864776354,0.8176569862943881,-3.165983720059022e-13,4183.268066011636,2653.525885940182,0.8153557464482659,-0.05619157379041706,3418.396975975909
8,1.3354515629298973,4157.770708795186,2647.2089051587227,0.8176570077893335,3.522771651942273e-13,4183.2712556604765,2653.5348438767282,0.8153554687408998,-0.0560453738566693,3418.4030497686026
13,0.9437878277775371,4157.770505410454,2647.2145322998576,0.8176570256353475,-6.649733251322826e-13,4183.274777602825,2653.5436137935567,0.8153551619055823,-0.05584148040682191,3418.409195698191
39,0.8804883581643465,4157.770475476575,2647.215451258122,0.8176570282619027,-3.309945680811597e-13,4183.275412214853,2653.5450912477218,0.8153551065987352,-0.055800480171892985,3418.410251731287
4,0.5805225516094895,4157.770349709612,2647.2198417870372,0.8176570392973618,-5.265196380290148e-13,4183.278716200981,2653.5523796124753,0.8153548185735351,-0.05556802037993247,3418.415547906728
18,0.38274944785163073,4157.7702859256015,2647.222776107302,0.8176570448941122,-1.5351920505218116e-13,4183.281204264419,2653.557478900615,0.8153546015960977,-0.055373598448402284,3418.419341582517
35,0.333129478793467,4157.770273001424,2647.2235182783643,0.8176570460281486,-8.063849693853654e-13,4183.281873054299,2653.55879714686,0.8153545432620604,-0.05531872448346942,3418.420335100579
23,0.28994228538828754,4157.770262905005,2647.2241666635314,0.8176570469140625,-5.412050464185346e-13,4183.282470887036,2653.559958110186,0.8153544911135238,-0.055268777797281565,3418.421214498611
38,0.1350993521198025,4157.770236646086,2647.226505431501,0.8176570492181606,-5.498850088559504e-13,4183.284743648618,2653.564231513584,0.8153542928324349,-0.05507150978988484,3418.424487581101
37,0.11758495540521557,4157.7702347608465,2647.226771463475,0.8176570493835816,-7.635530906731884e-13,4183.285014267791,2653.564726415684,0.8153542692199768,-0.05504727039515789,3418.4248703417375
30,0.09547716114208056,4157.770232726362,2647.227107702406,0.8176570495620981,2.1928726277828107e-13,4183.285360019973,2653.565354631417,0.8153542390510082,-0.05501607679778164,3418.425357325695
