config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R7_iter800_lr0.087_l21.24_leaf127,2154.9023580174835,1673.1920969567,1256.9577914622794,1015.1037016618808,0.9508589374991211,0.9703946622779882,99.44766691352535,83.35524170741431,14.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R6_iter1000_lr0.121_l22.39_leaf127,2159.6225790206504,1685.1796911816264,1260.554788816235,1018.9941088301056,0.9506220587682188,0.9699897308340939,103.47188711588944,83.566808997666,14.0,25.0,20,127,1000,25.0,0.12052631578947368,2.394736842105263,255,42
R11_iter1500_lr0.087_l21.13_leaf63,2159.8774579421242,1791.007262577413,1270.5631635395457,1090.11198543602,0.9506035148064034,0.9661199900033689,104.72802765701427,91.53557826286388,14.0,25.0,20,63,1500,15.0,0.08736842105263158,1.131578947368421,255,42
R34_iter1500_lr0.139_l21.03_leaf127,2163.5341193974127,1672.0801321872482,1260.78858126923,1010.0713751577232,0.9504340592824774,0.9704796485770887,100.28927809613415,82.4199803354293,14.0,25.0,20,127,1500,25.0,0.13894736842105262,1.026315789473684,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2164.193733408791,1728.9420624937084,1262.9516524000314,1039.943459716734,0.9503838555656106,0.9684169498453432,101.06140182822548,85.61376288280553,14.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R1_iter600_lr0.128_l20.61_leaf127,2167.6618843372744,1721.9153482989918,1267.3529621337093,1035.5794116106326,0.9502650924326117,0.9686403686560907,100.52941524279139,83.63931734120732,14.0,25.0,40,127,600,25.0,0.12789473684210526,0.6052631578947368,255,42
R26_iter1500_lr0.091_l20.82_leaf63,2171.00924931001,1815.0256489391127,1279.7502523555681,1109.5959768510052,0.9501121038011106,0.965208696613245,105.48612848874333,92.76197777989569,14.0,25.0,20,63,1500,10.0,0.09105263157894737,0.8157894736842105,255,42
R30_iter600_lr0.106_l21.03_leaf127,2171.8324313102357,1746.5417505083678,1266.633966990932,1046.961831358743,0.9500841861574232,0.9677883105979765,103.67804619502358,85.97317334144265,14.0,25.0,40,127,600,,0.10578947368421052,1.026315789473684,255,42
R9_iter600_lr0.098_l22.29_leaf127,2172.4586855395273,1759.4750993362472,1266.3393411719285,1055.9755164307767,0.9500450572472571,0.9673216951971827,102.33933847822084,86.72055369208721,14.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R29_iter1500_lr0.087_l21.97_leaf63,2174.031929821077,1826.105260249814,1284.5802453754386,1114.8437429351138,0.9499474201696856,0.9647593029010559,105.59098721817344,93.74268359386136,14.0,25.0,20,63,1500,10.0,0.08736842105263158,1.9736842105263157,255,42
