variant,config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features_total,avg_features_selected,combo_score
v3_noOwners_age_logPrice,5,0.2,0.0017190722018585747,3537.08679608293,2106.5284202748007,0.8680330436476981,-232.932450083743,3559.711437324516,2111.398107277325,0.8663126880000468,-236.3174004983889,15.0,15.0,2835.5547723009204
v2_noOwners_logPrice,5,0.2,0.0017190722018585747,3537.139419853445,2106.5535320960635,0.8680291130525248,-232.92416017001787,3559.759163229607,2111.416012763487,0.8663090994521725,-236.3057401748506,15.0,15.0,2835.587587996547
v4_noOwners_age_logPrice_FS80,5,0.2,0.0017190722018585747,3538.882300110268,2107.049930362129,0.8678990210635583,-233.18363292106127,3561.4570537197,2111.884464538424,0.8661807321695191,-236.5756448268724,15.0,12.0,2836.670759129062
v5_age_logPrice_allFE_FS65,5,0.2,0.0017190722018585747,3714.4393765888917,2199.687825650567,0.8544674038244685,-259.80828998752577,3736.791217126435,2204.344839070177,0.8526896918172003,-262.9706958586277,25.0,17.0,2970.568028098306
v1_original_price,10,0.4,0.00022539339047347913,4157.77507590988,2647.107414407401,0.817656624625404,-8.711350770629203e-14,4183.249508112975,2653.4107009407676,0.8153573523496397,-0.05574656040500692,16.0,16.0,3418.330104526871
