variant,config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features_total,avg_features_selected,combo_score
v2_noOwners_logPrice,5,0.2,0.0017190722018585747,3537.139419853445,2106.5535320960635,0.8680291130525248,-232.92416017001787,3559.759163229607,2111.416012763487,0.8663090994521725,-236.3057401748506,15.0,15.0,2835.587587996547
v2_noOwners_logPrice,10,0.4,0.00022539339047347913,3539.268844227464,2108.59190687264,0.8678700539035429,-217.69245398803966,3562.172896725732,2113.52720062935,0.8661282073961046,-221.16510540107538,15.0,15.0,2837.850048677541
v2_noOwners_logPrice,2,0.5,0.00022539339047347913,3539.5782289033436,2108.6423094786637,0.8678469476429888,-218.06226385397846,3562.4988376544443,2113.570669429696,0.86610374794976,-221.5349965052316,15.0,15.0,2838.03475354207
v2_noOwners_logPrice,6,0.6,0.00015013107289081726,3539.6000642210356,2108.751353089627,0.867845312816925,-217.10546556870852,3562.5282653238946,2113.6964382701817,0.8661015228991511,-220.5825872913012,15.0,15.0,2838.112351797038
v2_noOwners_logPrice,8,0.3,0.002580861540418077,3540.89351946919,2106.933379058355,0.8677488802883848,-245.86610878304427,3563.4982008179704,2111.8311548713473,0.8660274146961398,-249.21964610383827,15.0,15.0,2837.664677844659
v2_noOwners_logPrice,11,0.5,0.0011450475699382812,3542.3694873681943,2108.0956531362826,0.8676384533760223,-232.23727579654332,3565.2188322396605,2112.9827884182696,0.8658986636209925,-235.66250090191667,15.0,15.0,2839.100810328965
v2_noOwners_logPrice,9,0.4,0.002580861540418077,3545.049937138656,2108.231588537773,0.8674381917210708,-249.79294076299843,3567.7806296325066,2113.1332409329652,0.8657049978128366,-253.15771466555216,15.0,15.0,2840.4569352827357
v2_noOwners_logPrice,3,0.4,0.005817091329374358,3564.9816606175955,2118.7268787195626,0.8659437463268953,-290.5945260392148,3587.1947910332606,2123.670383468787,0.8642380192032999,-293.8602494178149,15.0,15.0,2855.4325872510235
v2_noOwners_logPrice,4,0.3,0.013111339374215644,3591.840813742627,2137.201902333526,0.8639167560386867,-355.3450691633051,3612.389599868171,2142.054035713217,0.8623221584515041,-358.34649446327944,15.0,15.0,2877.2218177906943
v2_noOwners_logPrice,12,0.8,0.003874675120456132,3590.0739794234905,2131.588379384212,0.864049642730434,-287.120772483226,3613.2307741349305,2136.6566087384463,0.8622608801666176,-290.4918847263556,15.0,15.0,2874.9436914366884
v2_noOwners_logPrice,13,0.8,0.008733261623828438,3629.48149321038,2150.8239686633174,0.8610490155028876,-368.45240108513633,3652.0856673933504,2155.8896284998696,0.8592817031356906,-371.727177255,15.0,15.0,2903.98764794661
v2_noOwners_logPrice,15,0.6,0.013111339374215644,3637.86790642927,2157.9329889595674,0.8604065898867952,-406.821776537501,3659.294107195028,2162.9014452960273,0.8587243061623191,-409.9061872387804,15.0,15.0,2911.0977762455277
v2_noOwners_logPrice,1,0.7,0.02955209235202888,3885.2231409739475,2321.06340446661,0.8407794319940152,-646.1343219351168,3902.8579952845753,2325.12244872638,0.839287214429404,-648.5966951614737,15.0,15.0,3113.9902220054773
v2_noOwners_logPrice,7,0.6,0.06660846290809161,4537.155657317081,2791.1685416554146,0.7828638959182581,-976.0367323303349,4546.605549201091,2793.689312502015,0.7818975054078396,-977.4843581183982,15.0,15.0,3670.147430851553
v2_noOwners_logPrice,14,0.7,0.06660846290809161,4699.835313645792,2912.1875973546394,0.7670138506283426,-1042.224207241044,4708.378821258651,2914.526887657187,0.766100795973173,-1043.5431541396943,15.0,15.0,3811.4528544579193
