config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
52,0.4,0.1,4176.599778115123,2631.6413270017542,0.816001696839499,-7.442514597971229e-13,4203.499948807846,2638.322763480441,0.8135613340231642,-0.03843144535596377,3420.9113561441436
31,0.7000000000000001,0.28942661247167517,4189.783666683095,2631.456773991761,0.8148382348887421,2.2625993381114138e-13,4217.2537102732485,2638.3679947510896,0.8123380106121062,-0.030830055239716714,3427.810852512169
9,0.6,0.14251026703029993,4175.279557428956,2631.826960613933,0.8161180029970011,1.0125905138725552e-13,4202.1131624588215,2638.4892710402855,0.8136844692718883,-0.03922216939530454,3420.3012167495535
51,0.8,0.5878016072274912,4206.903563675258,2633.8647542248027,0.8133219551345345,-1.0617191246317418e-12,4234.959450633605,2640.997977629785,0.8107574165168391,-0.02162254366836791,3437.978714131695
43,0.9,1.1937766417144382,4208.248188107814,2634.1515731633644,0.8132026023490573,-6.575957864650469e-13,4236.344141028309,2641.301746232929,0.8106335284940267,-0.021150105967735477,3438.822943630619
26,0.5,0.04923882631706741,4163.01468976244,2636.699045823418,0.817196739100154,-5.880945615651771e-13,4189.064532341017,2643.1064831957647,0.8148414285591496,-0.04559630877368459,3416.085507768391
53,0.30000000000000004,0.03455107294592222,4162.8800950143595,2636.8144105662113,0.8172085597098624,4.8466084485383886e-14,4188.918509955653,2643.217583282871,0.8148543638671096,-0.04563957533473584,3416.0680466192616
13,0.4,0.03455107294592222,4161.870659669726,2637.772608746195,0.8172972001457479,-2.8179229157066375e-13,4187.819312556056,2644.149480338141,0.8149517368069961,-0.04588987029919256,3415.9843964470983
22,0.7000000000000001,0.04923882631706741,4160.304382756656,2639.6926107504537,0.8174346962776484,-5.267159754816525e-13,4186.096376273856,2646.0450676700043,0.8151043979359248,-0.04601214838753265,3416.0707219719297
46,0.8,0.07017038286703829,4160.130427829223,2639.9541745058473,0.8174499638652879,5.362821221940619e-14,4185.903255349287,2646.303227457594,0.8151215155658293,-0.046000855307188004,3416.1032414034407
41,0.1,0.01193776641714437,4159.382554231249,2641.2647616394643,0.817515595712585,-6.540777348392074e-13,4185.0674481826,2647.613179207149,0.8151956261671545,-0.045957477653046475,3416.3403136948746
17,0.6,0.02424462017082331,4159.168837768053,2641.7102146001207,0.8175343487846549,-3.207501787138575e-13,4184.825922768245,2648.054156506365,0.8152170536498285,-0.0459783872534647,3416.440039637305
1,0.9,0.04923882631706741,4158.3265225595105,2644.039793248285,0.8176082511447,1.9657596987794685e-13,4183.864097659733,2650.3528681001644,0.8153024894867245,-0.04641694631437154,3417.1084828799485
3,0.7000000000000001,0.5878016072274912,4242.793491663862,2643.7174383196084,0.8101231767881203,-9.188299583124337e-13,4271.801761427745,2651.2270686223005,0.8074474281461576,-0.004157590849897197,3461.5144150250226
45,0.5,0.004124626382901352,4157.936305652329,2645.7265594521023,0.8176424821247938,-3.357968070191233e-13,4183.414077237252,2652.022624663103,0.8153425819185368,-0.04893430563792123,3417.7183509501774
27,0.4,0.0028942661247167516,4157.900345774517,2645.939025171608,0.8176456364315781,5.0044168319429005e-15,4183.373218013177,2652.2316412008404,0.8153462303689981,-0.049535291628969524,3417.802429607009
34,0.5,0.0028942661247167516,4157.870459885352,2646.1323769695273,0.8176482579173807,-6.472314101204003e-13,4183.339585556532,2652.423384784618,0.8153492357168893,-0.05016576551451468,3417.881485170575
16,0.1,0.0014251026703029992,4157.85426283056,2646.2456871614863,0.8176496786570144,-8.825413129300733e-13,4183.3215759370105,2652.535803818704,0.8153508463279033,-0.050588973866893205,3417.9286898778573
19,0.5,0.002030917620904737,4157.830111802139,2646.4330671825624,0.8176517970753447,-8.894818890110265e-13,4183.295087274013,2652.7226973103725,0.8153532174088856,-0.05135083047234623,3418.0088922921927
21,0.6,0.002030917620904737,4157.813527582246,2646.579577261218,0.817653251761864,-1.9200706859080803e-13,4183.277392645175,2652.8702654402196,0.8153548040406954,-0.05203639661239201,3418.073829042697
15,0.30000000000000004,0.001,4157.805092170445,2646.66263692528,0.817653991674528,7.006723365113322e-14,4183.268709255872,2652.9549655486594,0.8153555842936251,-0.052480288471128844,3418.1118374022653
