config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
31,0.7000000000000001,0.28942661247167517,4189.965109262658,2631.562896995404,0.8148221916239531,-2.0864415030040611e-13,4217.378005071398,2638.4211334643264,0.8123269633037398,-0.028402428789786605,3427.899569267862
9,0.6,0.14251026703029993,4175.458973756466,2631.9143299469447,0.8161021937068484,2.8453308182506194e-13,4202.232425879221,2638.5666978482514,0.8136739020976624,-0.036671995445357375,3420.3995618637364
26,0.5,0.04923882631706741,4163.191124836297,2636.834239060932,0.8171812380623721,-5.123989027432778e-13,4189.177468375114,2643.2488137285422,0.8148314458534227,-0.04255192435498856,3416.2131410518277
13,0.4,0.03455107294592222,4162.04660261318,2637.8985016260485,0.8172817465808682,1.428129148380345e-13,4187.931382891242,2644.289266425014,0.8149418324762239,-0.04272961182180879,3416.110324658128
22,0.7000000000000001,0.04923882631706741,4160.479521082344,2639.81423674077,0.8174193191574117,-1.1334188058609813e-12,4186.207098874881,2646.1697658066037,0.8150946149588036,-0.04262548072921568,3416.188432340742
17,0.6,0.02424462017082331,4159.343223832859,2641.83508405757,0.817519041880312,-6.789386461360309e-14,4184.935472027727,2648.167825025039,0.8152073756233049,-0.04233818674473344,3416.551648526383
1,0.9,0.04923882631706741,4158.500157199851,2644.1561699495087,0.8175930132798315,-1.3107292624244031e-13,4183.9725083350895,2650.4582943051273,0.8152929125592919,-0.04245450714270138,3417.2154013201084
3,0.7000000000000001,0.5878016072274912,4242.982781088261,2643.824265964505,0.8101062282746552,-1.7478837273123606e-13,4271.941611213398,2651.293292801499,0.8074348501969464,-0.0016350052881790589,3461.6174520074483
27,0.4,0.0028942661247167516,4158.073519403677,2646.046777984825,0.8176304405864373,-1.6390981875837758e-12,4183.480857770681,2652.333192741731,0.8153367214466121,-0.04527244334305358,3417.907025256206
34,0.5,0.0028942661247167516,4158.043592222866,2646.239480119136,0.8176330658056625,-1.0021594934059374e-12,4183.447143403603,2652.525153036234,0.815339733996044,-0.045868864062047265,3417.9861482199185
16,0.1,0.0014251026703029992,4158.027372397684,2646.352237060848,0.8176344886031114,-6.267150028958659e-13,4183.429087052754,2652.6371683736843,0.8153413487143311,-0.046271660962919015,3418.033127713219
19,0.5,0.002030917620904737,4158.003186745285,2646.538170487669,0.8176366101488101,3.4650439346837045e-13,4183.402521764243,2652.8211439216143,0.8153437265272998,-0.04699880417118685,3418.1118328429284
21,0.6,0.002030917620904737,4157.98657859263,2646.683660623403,0.8176380669967263,5.838049019805157e-13,4183.384770209838,2652.966252937601,0.8153453181594261,-0.04765590863359126,3418.1755115737196
