config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R11_iter1500_lr0.087_l21.13_leaf63,2151.6579601498893,1761.510354833436,1265.7234786238791,1074.2077613130623,0.9510233654710706,0.9672292887155252,106.32332069922248,89.57217569049956,19.0,25.0,20,63,1500,15.0,0.08736842105263158,1.131578947368421,255,42
R5_iter1000_lr0.132_l22.29_leaf127,2152.4487443224866,1683.7200041997326,1257.692085075235,1014.1001206456169,0.9509739961655208,0.970073116441464,102.21321523093265,81.776566868412,19.0,25.0,30,127,1000,,0.13157894736842105,2.289473684210526,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2155.30207566394,1713.110530752847,1258.3689412201984,1031.9407468632987,0.9508251675730627,0.968982359292796,101.71083231630286,84.92032775608627,19.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R7_iter800_lr0.087_l21.24_leaf127,2155.562234595217,1699.5902473170752,1260.311228782583,1032.3349570330834,0.9508129341412058,0.9695037376842628,103.4196124958391,85.50253513464887,19.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R26_iter1500_lr0.091_l20.82_leaf63,2156.555281622852,1770.9358034841118,1269.1661194697374,1083.8515348600172,0.9507841748864015,0.9668948036615539,102.63764839030225,89.31060773153744,19.0,25.0,20,63,1500,10.0,0.09105263157894737,0.8157894736842105,255,42
R28_iter800_lr0.143_l21.97_leaf31,2159.192373620074,1851.9401182246215,1287.4297330515888,1135.7086802664717,0.950697063459412,0.9637585547716039,107.58869376945239,94.73535636488216,19.0,25.0,20,31,800,10.0,0.14263157894736841,1.9736842105263157,255,42
R34_iter1500_lr0.139_l21.03_leaf127,2160.3412487694286,1691.396452158231,1264.6500111549517,1024.6871106705412,0.9505911611307198,0.9697652433701388,102.64338806648871,83.96028998816428,19.0,25.0,20,127,1500,25.0,0.13894736842105262,1.026315789473684,255,42
R30_iter600_lr0.106_l21.03_leaf127,2163.2802586361595,1755.232200082787,1264.5975723245388,1051.553626001356,0.9504561527520661,0.9674635189385358,102.77709427939601,86.74250230591656,19.0,25.0,40,127,600,,0.10578947368421052,1.026315789473684,255,42
R9_iter600_lr0.098_l22.29_leaf127,2163.3289728878576,1768.5553418261673,1265.655702562773,1061.107734650714,0.9504688129913325,0.9669072358877733,103.9487991128685,87.52372343097346,19.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R29_iter1500_lr0.087_l21.97_leaf63,2164.4945190341878,1786.972507809761,1273.002271222057,1090.6144064404107,0.95041670003623,0.9662753775204764,104.11551814416266,90.57671353255364,19.0,25.0,20,63,1500,10.0,0.08736842105263158,1.9736842105263157,255,42
