config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R11_iter1500_lr0.087_l21.13_leaf63,2144.409038895197,1744.530125867374,1262.4928154219217,1064.6902643594171,0.9513304008914275,0.967856929356838,103.83495001064442,88.54796160608075,20.0,25.0,20,63,1500,15.0,0.08736842105263158,1.131578947368421,255,42
R7_iter800_lr0.087_l21.24_leaf127,2149.882830511616,1687.9083165719162,1256.9781809277342,1025.2331183776494,0.951082832287488,0.9699318974716804,101.94288566243506,84.27905172449532,20.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2154.470458149262,1725.270065771087,1261.3866574728158,1036.6279901278338,0.9508934325859881,0.9685457241909706,103.19494914892942,85.48689274462443,20.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R9_iter600_lr0.098_l22.29_leaf127,2156.6839691441755,1742.1227133659722,1260.8755112804047,1044.0115841929905,0.9507617047895411,0.9679232818703507,100.87810452390099,85.7143462637086,20.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R6_iter1000_lr0.121_l22.39_leaf127,2158.796545949907,1685.8394138229148,1257.386434133973,1019.7770387518842,0.9506630280652003,0.9699492070806859,103.17467796747987,83.80437443306869,20.0,25.0,20,127,1000,25.0,0.12052631578947368,2.394736842105263,255,42
R10_iter1000_lr0.106_l21.55_leaf63,2159.0786633550806,1771.5217938756196,1267.3242227692108,1072.8144266968823,0.9506944053603658,0.9668616590305188,103.43067167375409,88.35885995924448,20.0,25.0,30,63,1000,25.0,0.10578947368421052,1.5526315789473684,255,42
R5_iter1000_lr0.132_l22.29_leaf127,2162.9177355472457,1706.5480676851298,1262.0135672235488,1026.7647851166919,0.9504657792634745,0.9691874653020301,100.12062468553015,83.5209665221359,20.0,25.0,30,127,1000,,0.13157894736842105,2.289473684210526,255,42
R13_iter1000_lr0.128_l22.39_leaf127,2166.9082274184,1733.093549123546,1266.2241089343556,1041.8505020137459,0.9502772668392065,0.9682657287887627,99.72981159588544,83.92050295597957,20.0,25.0,40,127,1000,25.0,0.12789473684210526,2.394736842105263,255,42
R1_iter600_lr0.128_l20.61_leaf127,2179.5303952541713,1754.0674857774725,1268.3611736176554,1053.6801646695951,0.9497256699747918,0.9675316542876335,101.32382526471815,85.21789247388793,20.0,25.0,40,127,600,25.0,0.12789473684210526,0.6052631578947368,255,42
R8_iter1000_lr0.121_l21.66_leaf63,2183.9457812092182,1833.6629156612598,1284.4801048764705,1116.4956904951107,0.9495056208389373,0.9644144490723494,105.64596813207879,91.77277037232652,20.0,25.0,30,63,1000,10.0,0.12052631578947368,1.6578947368421053,255,42
R12_iter1500_lr0.095_l21.34_leaf63,2186.060437474851,1846.8093809117213,1277.3427747134085,1117.0960662025614,0.9493930913840449,0.9639602522139781,108.43375766384949,93.79513829930804,20.0,25.0,40,63,1500,20.0,0.09473684210526316,1.3421052631578947,255,42
R4_iter1000_lr0.087_l21.76_leaf31,2187.2503232699246,1901.2253670997113,1295.6059134772167,1163.9321153168764,0.9493489424649277,0.9618129309837274,111.20725919509178,99.97993738035612,20.0,25.0,20,31,1000,,0.08736842105263158,1.763157894736842,255,42
R2_iter600_lr0.102_l22.29_leaf31,2192.7032607505607,1908.2226990306976,1299.6194067146246,1170.1145178601262,0.9491635273589876,0.9615822386415858,111.01511734318305,100.58794397876184,20.0,25.0,20,31,600,25.0,0.10210526315789473,2.289473684210526,255,42
R14_iter1500_lr0.084_l20.82_leaf31,2212.72465964995,1957.6544284178253,1314.0983564045455,1198.788307914498,0.9482108787736558,0.9595122925866643,117.19723441365748,105.33229145613603,20.0,25.0,20,31,1500,,0.08368421052631579,0.8157894736842105,255,42
R0_iter600_lr0.106_l21.24_leaf31,2228.1823787861613,1981.882932507467,1313.6281256668406,1201.5097343443117,0.9474524608059618,0.9585431780563882,111.48610394318949,103.44483677475452,20.0,25.0,40,31,600,15.0,0.10578947368421052,1.236842105263158,255,42
