config,fold,n_features_total,n_features_selected,train_mae,val_mae
final_config,1,25,17,1034.9118573948922,1251.4945866557032
final_config,2,25,17,1050.0866672495977,1280.6042082378344
final_config,3,25,17,1051.0609101012385,1279.6811885444522
final_config,4,25,17,1041.6793196114033,1302.1571688546546
final_config,5,25,17,1024.4010161694027,1253.6769075455072
final_config,6,25,17,1029.0608049083737,1250.0935651348686
final_config,7,25,17,1047.7794987745456,1233.489029538414
final_config,8,25,17,1022.5172446787042,1225.2363190532342
