config,fold,n_features_total,n_features_selected,train_mae,val_mae
final_config,1,25,17,1073.433847003496,1260.5047961010505
final_config,2,25,17,1072.3547164284037,1285.747898345165
final_config,3,25,17,1064.58547967376,1283.886654771254
final_config,4,25,17,1024.1124162288245,1290.8439502085214
final_config,5,25,17,983.873171394067,1249.1541354385379
final_config,6,25,17,987.2784796125757,1247.196078164177
final_config,7,25,17,1020.0598041717512,1235.2524042327661
final_config,8,25,17,1034.2829041639854,1228.6207990961725
