config_id,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
15,4.0554607358408274,4157.654525501392,2647.1810235316725,0.8176671983855263,-2.0439605513507682e-14,4182.78672438381,2653.349385014463,0.8153980273495871,0.18767267957737221,3418.0680546991366
12,3.072112998861753,4157.653935239157,2647.194304427758,0.8176672501752748,-6.54819364898059e-13,4182.790206999542,2653.3661679381216,0.8153977253214802,0.18764485369831085,3418.078187468832
16,2.1711179456945007,4157.65338476874,2647.2066826141718,0.8176672984746167,-3.1139561293806994e-14,4182.794613838841,2653.3827879822366,0.8153973424255041,0.187717136343994,3418.0887009105386
9,1.762914118095948,4157.6531395101,2647.2123757745376,0.8176673199943219,2.537773463281983e-14,4182.797168629648,2653.390869430009,0.8153971201988761,0.187803250566291,3418.0940190298284
8,1.3354515629298973,4157.652894166359,2647.2184126153825,0.8176673415216124,7.643174489151001e-13,4182.800359501862,2653.399828556103,0.8153968424526461,0.1879489636124898,3418.1000940289823
13,0.9437878277775371,4157.652690469709,2647.2240374721387,0.8176673593947212,4.5146437867108933e-14,4182.803882976188,2653.408599953735,0.8153965355583591,0.1881525793956067,3418.1062414649614
39,0.8804883581643465,4157.652660489768,2647.2249561377075,0.8176673620252787,3.041641507515606e-14,4182.804517882392,2653.4100777552194,0.8153964802393026,0.18819355357271128,3418.107297818806
4,0.5805225516094895,4157.652534528959,2647.229349370886,0.8176673730775854,3.678065594969384e-13,4182.80782348134,2653.417368187085,0.8153961921435322,0.18842597693424246,3418.1125958342127
18,0.38274944785163073,4157.652470646511,2647.23228546671,0.8176673786828936,1.9967344561776662e-13,4182.810312842821,2653.4224708464844,0.8153959751058213,0.18862046701641777,3418.1163918446528
35,0.333129478793467,4157.652457702386,2647.233027124483,0.8176673798186648,-2.605914591957157e-13,4182.8109819930105,2653.423790008021,0.8153959167546185,0.18867537150753577,3418.1173860005156
23,0.28994228538828754,4157.652447590384,2647.2336745334437,0.8176673807059336,3.3032144358172183e-13,4182.811580151763,2653.424951792279,0.8153958645904061,0.18872534953866626,3418.118265972021
38,0.1350993521198025,4157.65242129095,2647.2360102218686,0.8176673830135553,6.622683213188369e-14,4182.813854185488,2653.429228336713,0.8153956662469797,0.18892276936175278,3418.1215412611004
37,0.11758495540521557,4157.6524194028025,2647.2362762413936,0.8176673831792292,-9.06483960281297e-13,4182.814124959488,2653.429723614636,0.8153956426268189,0.1889470300774425,3418.121924287062
30,0.09547716114208056,4157.6524173651815,2647.236612462737,0.8176673833580186,6.860513031506171e-14,4182.8144709104945,2653.4303523110166,0.8153956124479251,0.18897825186761796,3418.1224116107555
5,0.07232633896483534,4157.652415657685,2647.2369650736805,0.8176673835078414,2.442875206089755e-13,4182.814838256532,2653.43101495521,0.8153955804015631,0.18901167815404474,3418.122926605871
29,0.05872786613189477,4157.6524148638855,2647.237172447117,0.8176673835774927,5.656952616434024e-13,4182.815056493298,2653.431406259684,0.8153955613626049,0.18903166838519425,3418.123231376491
21,0.054789011795939396,4157.652414663442,2647.2372325492174,0.8176673835950804,-4.214138445658511e-13,4182.815120051102,2653.431519892789,0.8153955558177546,0.18903750856258572,3418.1233199719454
6,0.029331662783900425,4157.6524136941025,2647.2376213967436,0.8176673836801344,-6.020136530821685e-15,4182.815534616157,2653.43225749837,0.8153955196498638,0.1890758035052551,3418.123896057263
36,0.013667163564620059,4157.652413384591,2647.237861011261,0.8176673837072922,-4.020744711393567e-13,4182.815793008336,2653.432714134222,0.8153954971062684,0.18909984745101127,3418.124253571279
1,0.007316807143427192,4157.652413322838,2647.237958224634,0.8176673837127106,-4.745783916941642e-13,4182.81589848679,2653.4328998623546,0.8153954879035803,0.18910970078664668,3418.1243991745723
24,0.006368249944718587,4157.652413316805,2647.2379727491543,0.81766738371324,4.102690291108659e-13,4182.815914278426,2653.4329276350363,0.8153954865257984,0.18911117787767662,3418.1244209567312
27,0.003409285069746811,4157.652413303342,2647.238018063664,0.8176673837144213,2.1488403235620528e-13,4182.815963600173,2653.433014320991,0.8153954822225837,0.18911579443549087,3418.124488960582
19,0.0029673024081888696,4157.652413302028,2647.2380248331283,0.8176673837145365,-1.5063492600220292e-13,4182.815970975303,2653.433027275946,0.8153954815791181,0.1891164851682383,3418.1244991256244
14,0.002247805833548725,4157.652413300279,2647.238035853479,0.81766738371469,-4.799606586138931e-13,4182.815982985558,2653.433048368793,0.8153954805312459,0.18911761024417384,3418.1245156771756
40,0.0019563983435170627,4157.652413299707,2647.2380403170528,0.8176673837147402,3.4299754591774054e-13,4182.8159878514525,2653.433056913028,0.8153954801067054,0.18911806614535376,3418.1245223822402
34,0.0018251834943190425,4157.6524132994755,2647.2380423269387,0.8176673837147606,-4.302252851076065e-13,4182.815990042758,2653.433060760567,0.8153954799155179,0.18911827146996352,3418.1245254016626
7,0.0012033778407775893,4157.652413298598,2647.23805185171,0.8176673837148376,8.629532412121263e-13,4182.816000429464,2653.433078995488,0.8153954790092959,0.18911924483507825,3418.124539712476
20,0.0011226677735108135,4157.65241329851,2647.238053088051,0.8176673837148453,-1.8067426323553897e-13,4182.816001777952,2653.4330813626216,0.8153954788916425,0.1891193712198973,3418.124541570287
28,0.0010473708979594498,4157.652413298434,2647.238054241478,0.817667383714852,6.685844644260173e-14,4182.81600303606,2653.433083571045,0.8153954787818747,0.1891194891383421,3418.124543303552
11,0.0009771241535346503,4157.652413298367,2647.23805531755,0.8176673837148578,-5.080976621960926e-13,4182.816004209841,2653.4330856313945,0.8153954786794644,0.1891195991551191,3418.1245449206176
25,0.0009115888299750819,4157.652413298309,2647.2380563214547,0.8176673837148629,2.802050053575303e-14,4182.816005304944,2653.433087553597,0.8153954785839185,0.18911970180107396,3418.1245464292706
26,0.0006442363508721371,4157.652413298115,2647.2380604169502,0.8176673837148799,4.694851697147133e-13,4182.816009772903,2653.433095395647,0.8153954781940963,0.18912012061393302,3418.124552584275
17,0.0004880251583654434,4157.652413298032,2647.2380628099404,0.8176673837148871,3.9015542973506123e-13,4182.816012383833,2653.433099977965,0.8153954779662969,0.18912036537238386,3418.124556180899
33,0.00045529350748669476,4157.6524132980185,2647.2380633113576,0.8176673837148885,6.38931688805635e-14,4182.816012930947,2653.4331009381467,0.8153954779185622,0.18912041666227442,3418.124556934547
10,0.00022739657523579274,4157.652413297946,2647.238066802552,0.8176673837148948,3.0984787190294887e-13,4182.81601674058,2653.433107623755,0.8153954775861776,0.18912077382045833,3418.1245621821677
3,8.026433522257174e-05,4157.652413297925,2647.2380690565274,0.8176673837148967,4.3322100569744044e-13,4182.816019200405,2653.433111940285,0.8153954773715618,0.18912100444755708,3418.124565570345
32,3.489101213406774e-05,4157.652413297921,2647.2380697516232,0.8176673837148969,-4.74717128416643e-13,4182.816019959023,2653.433113271475,0.8153954773053735,0.18912107557510272,3418.124566615249
22,3.0367711180354606e-05,4157.652413297921,2647.238069820918,0.8176673837148969,3.4618710292055856e-13,4182.816020034651,2653.4331134041836,0.815395477298775,0.18912108266701555,3418.124566719417
2,2.833096101839324e-05,4157.652413297921,2647.23806985212,0.8176673837148969,1.6572869120512012e-13,4182.816020068705,2653.4331134639397,0.815395477295804,0.18912108585971676,3418.1245667663225
31,1.867913599020781e-05,4157.652413297921,2647.2380699999812,0.8176673837148969,-5.80120338452065e-14,4182.816020230082,2653.4331137471136,0.815395477281724,0.18912110099052626,3418.124566988598
