2025-12-15 04:32:05,812 - - 35 iterations | 8-fold | FS_KEEP_RATIO=0.65
2025-12-15 04:57:46,498 - R12_iter1500_lr0.095_l21.34_leaf63 | VAL_RMSE=2175.593818 | VAL_MAE=1275.418668 | VAL_R2=0.949894 | VAL_BIAS=106.990131 | TRAIN_RMSE=1839.297976 | TRAIN_MAE=1112.401615 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 20, 'learning_rate': np.float64(0.09473684210526316), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:59:59,694 - R13_iter1000_lr0.128_l22.39_leaf127 | VAL_RMSE=2165.156544 | VAL_MAE=1266.720002 | VAL_R2=0.950371 | VAL_BIAS=101.999496 | TRAIN_RMSE=1723.995264 | TRAIN_MAE=1037.305368 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:01:54,014 - R14_iter1500_lr0.084_l20.82_leaf31 | VAL_RMSE=2202.877984 | VAL_MAE=1303.903569 | VAL_R2=0.948637 | VAL_BIAS=114.210978 | TRAIN_RMSE=1909.105424 | TRAIN_MAE=1173.516021 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.08368421052631579), 'l2_regularization': np.float64(0.8157894736842105), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:03:47,981 - R15_iter600_lr0.124_l22.50_leaf63 | VAL_RMSE=2183.108182 | VAL_MAE=1279.849026 | VAL_R2=0.949570 | VAL_BIAS=106.187033 | TRAIN_RMSE=1828.061391 | TRAIN_MAE=1108.599741 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.12421052631578947), 'l2_regularization': np.float64(2.5), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:05:32,053 - R16_iter600_lr0.109_l21.55_leaf31 | VAL_RMSE=2215.095042 | VAL_MAE=1308.186826 | VAL_R2=0.948109 | VAL_BIAS=110.265030 | TRAIN_RMSE=1958.372022 | TRAIN_MAE=1190.291117 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.1094736842105263), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:07:19,069 - R17_iter1500_lr0.109_l22.18_leaf31 | VAL_RMSE=2197.346777 | VAL_MAE=1300.785083 | VAL_R2=0.948937 | VAL_BIAS=110.672086 | TRAIN_RMSE=1927.853701 | TRAIN_MAE=1175.685034 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.1094736842105263), 'l2_regularization': np.float64(2.1842105263157894), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:09:07,852 - R18_iter800_lr0.121_l21.03_leaf63 | VAL_RMSE=2192.308324 | VAL_MAE=1290.902155 | VAL_R2=0.949155 | VAL_BIAS=106.755755 | TRAIN_RMSE=1875.654315 | TRAIN_MAE=1141.114927 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 10, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(1.026315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:10:50,448 - R19_iter600_lr0.113_l21.24_leaf31 | VAL_RMSE=2197.258498 | VAL_MAE=1301.705577 | VAL_R2=0.948951 | VAL_BIAS=110.464444 | TRAIN_RMSE=1932.960212 | TRAIN_MAE=1177.762700 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:12:38,364 - R20_iter600_lr0.087_l22.29_leaf31 | VAL_RMSE=2225.165369 | VAL_MAE=1315.274253 | VAL_R2=0.947626 | VAL_BIAS=115.581710 | TRAIN_RMSE=1994.962385 | TRAIN_MAE=1208.630112 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:14:30,201 - R21_iter800_lr0.139_l22.50_leaf63 | VAL_RMSE=2177.039961 | VAL_MAE=1280.561583 | VAL_R2=0.949845 | VAL_BIAS=103.351178 | TRAIN_RMSE=1822.197083 | TRAIN_MAE=1104.725396 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.13894736842105262), 'l2_regularization': np.float64(2.5), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:16:25,051 - R22_iter800_lr0.124_l21.66_leaf127 | VAL_RMSE=2189.472954 | VAL_MAE=1281.362609 | VAL_R2=0.949216 | VAL_BIAS=104.535731 | TRAIN_RMSE=1814.557240 | TRAIN_MAE=1097.900893 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.12421052631578947), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:18:05,875 - R23_iter800_lr0.117_l20.50_leaf31 | VAL_RMSE=2200.004463 | VAL_MAE=1302.815934 | VAL_R2=0.948795 | VAL_BIAS=112.508017 | TRAIN_RMSE=1920.262578 | TRAIN_MAE=1178.368122 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': None, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(0.5), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:19:50,655 - R24_iter600_lr0.087_l20.61_leaf31 | VAL_RMSE=2211.982327 | VAL_MAE=1315.496834 | VAL_R2=0.948255 | VAL_BIAS=116.764949 | TRAIN_RMSE=1962.681287 | TRAIN_MAE=1202.663279 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 10, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:21:35,980 - R25_iter1000_lr0.102_l22.29_leaf31 | VAL_RMSE=2222.066691 | VAL_MAE=1312.100456 | VAL_R2=0.947787 | VAL_BIAS=116.932791 | TRAIN_RMSE=1973.657022 | TRAIN_MAE=1198.780107 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:23:36,204 - R26_iter1500_lr0.091_l20.82_leaf63 | VAL_RMSE=2174.847857 | VAL_MAE=1283.443634 | VAL_R2=0.949916 | VAL_BIAS=108.147958 | TRAIN_RMSE=1830.770100 | TRAIN_MAE=1120.014468 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 10, 'learning_rate': np.float64(0.09105263157894737), 'l2_regularization': np.float64(0.8157894736842105), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:25:45,193 - R27_iter1500_lr0.091_l20.61_leaf63 | VAL_RMSE=2169.016867 | VAL_MAE=1270.672758 | VAL_R2=0.950224 | VAL_BIAS=105.312898 | TRAIN_RMSE=1799.497743 | TRAIN_MAE=1091.986713 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.09105263157894737), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:27:23,471 - R28_iter800_lr0.143_l21.97_leaf31 | VAL_RMSE=2187.892959 | VAL_MAE=1302.810829 | VAL_R2=0.949369 | VAL_BIAS=110.033791 | TRAIN_RMSE=1909.201549 | TRAIN_MAE=1171.022937 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': 10, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:29:30,751 - R29_iter1500_lr0.087_l21.97_leaf63 | VAL_RMSE=2165.709023 | VAL_MAE=1274.214984 | VAL_R2=0.950372 | VAL_BIAS=106.154620 | TRAIN_RMSE=1795.347691 | TRAIN_MAE=1098.920566 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 10, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:31:42,597 - R30_iter600_lr0.106_l21.03_leaf127 | VAL_RMSE=2172.067702 | VAL_MAE=1267.892700 | VAL_R2=0.950093 | VAL_BIAS=104.062683 | TRAIN_RMSE=1773.823481 | TRAIN_MAE=1062.746139 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': None, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.026315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:33:29,987 - R31_iter1500_lr0.098_l21.76_leaf31 | VAL_RMSE=2197.688403 | VAL_MAE=1301.564824 | VAL_R2=0.948942 | VAL_BIAS=114.593103 | TRAIN_RMSE=1941.785024 | TRAIN_MAE=1182.828074 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:35:19,667 - R32_iter1000_lr0.143_l22.08_leaf63 | VAL_RMSE=2175.071703 | VAL_MAE=1275.774832 | VAL_R2=0.949943 | VAL_BIAS=102.088034 | TRAIN_RMSE=1789.583777 | TRAIN_MAE=1086.149501 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(2.0789473684210527), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:36:56,876 - R33_iter600_lr0.143_l20.61_leaf31 | VAL_RMSE=2203.392188 | VAL_MAE=1302.831749 | VAL_R2=0.948662 | VAL_BIAS=110.078250 | TRAIN_RMSE=1916.731251 | TRAIN_MAE=1171.024477 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 05:38:59,076 - R34_iter1500_lr0.139_l21.03_leaf127 | VAL_RMSE=2162.574254 | VAL_MAE=1258.106493 | VAL_R2=0.950473 | VAL_BIAS=99.677590 | TRAIN_RMSE=1662.200825 | TRAIN_MAE=1006.441463 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 1500, 'max_depth': 25, 'learning_rate': np.float64(0.13894736842105262), 'l2_regularization': np.float64(1.026315789473684), 'max_bins': 255, 'random_state': 42}
