config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R6_iter1000_lr0.121_l22.39_leaf127,2149.4868985125627,1667.7772780662503,1255.3654796484325,1009.7104199833302,0.9510911895880454,0.9705665545514206,100.62117673386878,82.56603577965592,18.0,25.0,20,127,1000,25.0,0.12052631578947368,2.394736842105263,255,42
R11_iter1500_lr0.087_l21.13_leaf63,2150.5405295024875,1762.6168702476689,1264.4922935315521,1074.902653245727,0.9510702936573292,0.9671797886124507,106.57782114152366,89.5659624586929,18.0,25.0,20,63,1500,15.0,0.08736842105263158,1.131578947368421,255,42
R26_iter1500_lr0.091_l20.82_leaf63,2151.6281454614846,1753.6430525850003,1264.322160842637,1071.8922833522065,0.951009993035195,0.9675481250147754,101.93989442780531,87.68515454890931,18.0,25.0,20,63,1500,10.0,0.09105263157894737,0.8157894736842105,255,42
R9_iter600_lr0.098_l22.29_leaf127,2155.0589491272763,1739.197220266341,1261.175672764432,1042.2010552177612,0.9508484296770006,0.9680698231132453,101.43952006182536,84.99247350060188,18.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R7_iter800_lr0.087_l21.24_leaf127,2155.28525094486,1700.257381798369,1261.2874788529516,1030.9075054527773,0.9508257401139171,0.9694556832420315,102.4241062511878,85.1954874115853,18.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R34_iter1500_lr0.139_l21.03_leaf127,2157.707074085355,1664.8075305235477,1258.5687306722625,1006.7515773635367,0.9506807569464965,0.9707539048542351,96.89887144678356,81.82087818910489,18.0,25.0,20,127,1500,25.0,0.13894736842105262,1.026315789473684,255,42
R5_iter1000_lr0.132_l22.29_leaf127,2161.4403511856667,1709.0050843221818,1260.4172024471297,1028.1165518514517,0.950568134779165,0.9691563813223876,101.239345540849,83.44170780235308,18.0,25.0,30,127,1000,,0.13157894736842105,2.289473684210526,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2162.6709327658627,1723.2418747582956,1262.4481762741618,1036.5556041296893,0.9504798041649852,0.968644914189721,101.36326105324805,85.34662435461566,18.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R27_iter1500_lr0.091_l20.61_leaf63,2163.4974468285163,1808.0480300931529,1271.361581088238,1095.457843090731,0.9504837183731643,0.9654671814356525,104.93508307744483,91.84721449222624,18.0,25.0,30,63,1500,,0.09105263157894737,0.6052631578947368,255,42
R8_iter1000_lr0.121_l21.66_leaf63,2165.9821656201293,1789.0441813535263,1275.458211772504,1091.5428137738522,0.9503666536074425,0.9662053409437782,102.55250454641211,88.15155453167552,18.0,25.0,30,63,1000,10.0,0.12052631578947368,1.6578947368421053,255,42
