config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,rmse_mean,mae_mean,r2_mean,combo_score
37,800,4,2,0.5,15,False,2153.5587914920466,1379.193663225009,0.9510793453526916,2531.6734310802244,1542.7961921858935,0.9322661961523148,2037.234811633059
38,1000,4,2,0.5,15,False,2154.046020268339,1379.3275642466917,0.9510572352266471,2531.7377349927565,1542.8850041390474,0.9322629159782361,2037.311369565902
39,1200,4,2,0.5,15,False,2155.4577534363225,1379.7673739575364,0.9509931409488103,2533.4651698144207,1543.3276397968323,0.9321702232261329,2038.3964048056264
40,800,6,2,0.5,15,False,2189.4050608838897,1393.126024266447,0.9494371452776782,2541.8648316748327,1546.0288696772882,0.9317197736864922,2043.9468506760604
41,1000,6,2,0.5,15,False,2190.3267044182385,1394.0683343885207,0.9493943730198484,2540.830920343411,1546.6388116681553,0.9317759206360278,2043.7348660057833
42,1200,6,2,0.5,15,False,2192.156314754792,1394.773430186256,0.9493096225720679,2542.3396097431437,1546.988802103213,0.9316950992940005,2044.6642059231783
44,1000,4,3,0.5,15,False,2275.908642844977,1429.2753980595862,0.9453627001161664,2585.2997947561366,1562.9534118213369,0.9293796368017093,2074.126603288737
47,1000,6,3,0.5,15,False,2275.908642844977,1429.2753980595862,0.9453627001161664,2585.299794756137,1562.9534118213369,0.9293796368017093,2074.126603288737
46,800,6,3,0.5,15,False,2276.376622909622,1429.0607611992518,0.9453401686418517,2586.5992631448617,1563.123291622809,0.9293088325612194,2074.8612773838354
43,800,4,3,0.5,15,False,2276.376622909622,1429.0607611992518,0.9453401686418517,2586.5992631448617,1563.123291622809,0.9293088325612194,2074.8612773838354
45,1200,4,3,0.5,15,False,2277.320361826869,1429.8170501796012,0.9452948697401464,2586.2782772371847,1563.177499927101,0.9293261594385941,2074.727888582143
48,1200,6,3,0.5,15,False,2277.320361826869,1429.817050179601,0.9452948697401464,2586.2782772371847,1563.1774999271015,0.9293261594385941,2074.7278885821434
27,1200,4,2,0.3,15,False,2965.356242697325,1964.2769153451122,0.9072424250752391,3191.8732542528533,2049.6340271715926,0.8924612290870562,2620.753640712223
