config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
31,0.7000000000000001,0.28942661247167517,4189.965108357723,2631.5628961296643,0.8148221917032437,5.048416707904413e-13,4217.378004829534,2638.421132582738,0.8123269633281665,-0.028402792875239058,3427.899568706136
9,0.6,0.14251026703029993,4175.458973727647,2631.914329925943,0.816102193709386,-1.2141856829518759e-12,4202.232425845563,2638.56669782715,0.8136739021006736,-0.036671995570833005,3420.3995618363565
26,0.5,0.04923882631706741,4163.191124487431,2636.8342390572943,0.817181238093019,5.053834349596096e-13,4189.177468002435,2643.2488137167898,0.8148314458864061,-0.04255192817355091,3416.2131408596124
13,0.4,0.03455107294592222,4162.0466024460375,2637.8985016288934,0.8172817465955232,-5.355119361680481e-13,4187.931382713567,2644.289266443689,0.8149418324920833,-0.04272962401870384,3416.110324578628
22,0.7000000000000001,0.04923882631706741,4160.4795199801265,2639.814237328389,0.8174193192541499,-6.541197189540776e-13,4186.207097738186,2646.1697664117028,0.8150946150594597,-0.042625486769013676,3416.1884320749446
17,0.6,0.02424462017082331,4159.343222137897,2641.835085758309,0.8175190420290678,-8.218133041717414e-13,4184.935470355858,2648.16782679208,0.8152073757713433,-0.04233820749504513,3416.551648573969
1,0.9,0.04923882631706741,4158.500190778779,2644.156110159754,0.8175930103329444,-1.3352854002571397e-12,4183.972542104987,2650.4582358014895,0.8152929095724206,-0.04245339827290362,3417.2153889532383
3,0.7000000000000001,0.5878016072274912,4242.982749298351,2643.824256815075,0.8101062311113946,-2.337863601525775e-13,4271.941573041933,2651.293279375386,0.8074348537389283,-0.001634285912260225,3461.6174262086597
27,0.4,0.0028942661247167516,4158.073519403819,2646.0467779841874,0.8176304405864248,-1.2870480612628958e-12,4183.4808577707845,2652.333192741092,0.8153367214466029,-0.045272443380230065,3417.907025255938
34,0.5,0.0028942661247167516,4158.043592223015,2646.239480118362,0.8176330658056494,-8.178378447103664e-13,4183.447143403758,2652.5251530355235,0.81533973399603,-0.04586886403270185,3417.9861482196407
16,0.1,0.0014251026703029992,4158.02737239769,2646.352237060807,0.8176344886031108,1.71080989589178e-14,4183.429087052764,2652.6371683736484,0.81534134871433,-0.046271660967683204,3418.0331277132063
19,0.5,0.002030917620904737,4158.003186745349,2646.538170487208,0.8176366101488046,-6.606342613061775e-13,4183.402521764273,2652.821143921087,0.8153437265272971,-0.046998804132663885,3418.11183284268
21,0.6,0.002030917620904737,4157.986578592695,2646.6836606228776,0.8176380669967207,-1.8235017405043614e-13,4183.384770209948,2652.9662529371494,0.8153453181594164,-0.04765590869235936,3418.1755115735486
15,0.30000000000000004,0.001,4157.978131177413,2646.766253323107,0.8176388079939341,-4.5836706391639586e-15,4183.376057126644,2653.0501927978967,0.8153461010211163,-0.04808282297935218,3418.2131249622703
40,0.1,0.0003455107294592218,4157.955072408824,2647.0640738666184,0.8176408307014562,-1.6330092461961332e-13,4183.355807242512,2653.352159441828,0.8153479358816994,-0.0499550314274515,3418.35398334217
35,0.6,0.000701703828670383,4157.953752305168,2647.0879614410096,0.8176409465044667,-1.014185698048783e-14,4183.35519107776,2653.376947720558,0.8153479940937858,-0.050132984328750574,3418.3660693991587
10,0.8,0.001,4157.95050263879,2647.1529672565625,0.8176412315819468,4.637043752027451e-13,4183.354833250351,2653.444881490963,0.8153480367857108,-0.0506773932788418,3418.3998573706567
11,0.2,0.00024244620170823283,4157.950226463276,2647.158382136494,0.8176412558103997,-8.923204762496484e-13,4183.354968804624,2653.4506426936623,0.8153480260034465,-0.050755941994133025,3418.402805749143
39,0.5,0.0003455107294592218,4157.949445445286,2647.1757567426953,0.8176413243284375,-1.5795316833225638e-14,4183.355368601817,2653.4690091369166,0.8153479939809916,-0.0509151016175009,3418.4121888693667
