variant,config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features_total,avg_features_selected,combo_score
v4_noOwners_age_logPrice_FS80,5,0.2,0.0017190722018585747,3538.882300110268,2107.049930362129,0.8678990210635583,-233.18363292106127,3561.4570537197,2111.884464538424,0.8661807321695191,-236.5756448268724,15.0,12.0,2836.670759129062
v4_noOwners_age_logPrice_FS80,10,0.4,0.00022539339047347913,3539.8129163075373,2108.5950760886526,0.8678294264536389,-217.53576766011844,3562.5536723546256,2113.3953428138157,0.8660990393368977,-220.98589645151986,15.0,12.0,2837.9745075842206
v4_noOwners_age_logPrice_FS80,2,0.5,0.00022539339047347913,3540.097124851899,2108.6000080033855,0.8678081964156781,-217.91069313396753,3562.8504972010387,2113.4008009806694,0.866076708284218,-221.3630646702034,15.0,12.0,2838.125649090854
v4_noOwners_age_logPrice_FS80,6,0.6,0.00015013107289081726,3540.1279991749147,2108.7671559161004,0.8678058873228687,-216.92305957305257,3562.884498372449,2113.5687033646036,0.8660742045614545,-220.3763802799642,15.0,12.0,2838.2266008685265
v4_noOwners_age_logPrice_FS80,11,0.5,0.0011450475699382812,3545.1037936600837,2109.4088468005825,0.8674340126734401,-232.27742661224192,3567.904270217308,2114.247199505927,0.8656960234032579,-235.72247946811578,15.0,12.0,2841.075734861617
v4_noOwners_age_logPrice_FS80,8,0.3,0.002580861540418077,3546.1097849345865,2110.4251146085003,0.8673589020187056,-245.9113238076888,3568.6889279537368,2115.277620103639,0.8656364424904237,-249.29189669339672,15.0,12.0,2841.983274028688
v4_noOwners_age_logPrice_FS80,9,0.4,0.002580861540418077,3553.4611669362066,2114.356396164006,0.8668083261509809,-249.43901609331624,3576.1513958743517,2119.269908322609,0.8650740780504299,-252.84257243731807,15.0,12.0,2847.7106520984803
v4_noOwners_age_logPrice_FS80,3,0.4,0.005817091329374358,3574.4422068245635,2126.5047273010455,0.8652311545617393,-289.94136336292047,3596.8129639558565,2131.4663350166506,0.8635092398049061,-293.1946524420148,15.0,12.0,2864.139649486254
v4_noOwners_age_logPrice_FS80,4,0.3,0.013111339374215644,3591.842874647474,2137.2055031799937,0.8639165998022167,-355.3466777231237,3612.3914872783394,2142.0575426128544,0.8623220152293396,-358.3480899669323,15.0,12.0,2877.2245149455966
v4_noOwners_age_logPrice_FS80,12,0.8,0.003874675120456132,3590.043893888277,2131.5824367129026,0.8640519198236958,-287.0897790877618,3613.1994113961164,2136.6500594657646,0.8622632647576551,-290.4598994437535,15.0,12.0,2874.9247354309405
v4_noOwners_age_logPrice_FS80,13,0.8,0.008733261623828438,3629.4648473446896,2150.8179061721507,0.8610502878474087,-368.4447066687734,3652.068553687219,2155.8834316161824,0.8592830218250624,-371.7192277106043,15.0,12.0,2903.975992651701
v4_noOwners_age_logPrice_FS80,15,0.6,0.013111339374215644,3637.8726493027234,2157.9380708896933,0.8604062257679688,-406.8249761452869,3659.2987453795886,2162.9064575869415,0.8587239487021207,-409.90935879086425,15.0,12.0,2911.102601483265
v4_noOwners_age_logPrice_FS80,1,0.7,0.02955209235202888,3885.2017435325733,2321.0590449088704,0.8407811855287908,-646.1091233641171,3902.835835668402,2325.1178964308265,0.8392890406469997,-648.5714080958334,15.0,12.0,3113.9768660496143
v4_noOwners_age_logPrice_FS80,7,0.6,0.06660846290809161,4537.177103396885,2791.176500753098,0.7828618434312196,-976.0619006774491,4546.62513881592,2793.6970762122364,0.7818956290489959,-977.5095125974029,15.0,12.0,3670.161107514078
v4_noOwners_age_logPrice_FS80,14,0.7,0.06660846290809161,4699.878604842877,2912.2086949833692,0.7670095584221757,-1042.2550731694982,4708.4220459106455,2914.5479728322734,0.7660965058108584,-1043.5741004058923,15.0,12.0,3811.4850093714595
