2025-12-15 11:17:05,024 - - 15 iterations | 8-fold | FS_KEEP_RATIO=0.8
2025-12-15 11:18:32,361 - R0_iter600_lr0.106_l21.24_leaf31 | VAL_RMSE=2228.182379 | VAL_MAE=1313.628126 | VAL_R2=0.947452 | VAL_BIAS=111.486104 | TRAIN_RMSE=1981.882933 | TRAIN_MAE=1201.509734 | SelAvg=20.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:20:05,194 - R1_iter600_lr0.128_l20.61_leaf127 | VAL_RMSE=2179.530395 | VAL_MAE=1268.361174 | VAL_R2=0.949726 | VAL_BIAS=101.323825 | TRAIN_RMSE=1754.067486 | TRAIN_MAE=1053.680165 | SelAvg=20.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:21:32,737 - R2_iter600_lr0.102_l22.29_leaf31 | VAL_RMSE=2192.703261 | VAL_MAE=1299.619407 | VAL_R2=0.949164 | VAL_BIAS=111.015117 | TRAIN_RMSE=1908.222699 | TRAIN_MAE=1170.114518 | SelAvg=20.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:23:13,572 - R3_iter1000_lr0.098_l21.87_leaf127 | VAL_RMSE=2154.470458 | VAL_MAE=1261.386657 | VAL_R2=0.950893 | VAL_BIAS=103.194949 | TRAIN_RMSE=1725.270066 | TRAIN_MAE=1036.627990 | SelAvg=20.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.8684210526315788), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:24:42,691 - R4_iter1000_lr0.087_l21.76_leaf31 | VAL_RMSE=2187.250323 | VAL_MAE=1295.605913 | VAL_R2=0.949349 | VAL_BIAS=111.207259 | TRAIN_RMSE=1901.225367 | TRAIN_MAE=1163.932115 | SelAvg=20.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:26:11,030 - R5_iter1000_lr0.132_l22.29_leaf127 | VAL_RMSE=2162.917736 | VAL_MAE=1262.013567 | VAL_R2=0.950466 | VAL_BIAS=100.120625 | TRAIN_RMSE=1706.548068 | TRAIN_MAE=1026.764785 | SelAvg=20.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:27:38,875 - R6_iter1000_lr0.121_l22.39_leaf127 | VAL_RMSE=2158.796546 | VAL_MAE=1257.386434 | VAL_R2=0.950663 | VAL_BIAS=103.174678 | TRAIN_RMSE=1685.839414 | TRAIN_MAE=1019.777039 | SelAvg=20.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:29:18,710 - R7_iter800_lr0.087_l21.24_leaf127 | VAL_RMSE=2149.882831 | VAL_MAE=1256.978181 | VAL_R2=0.951083 | VAL_BIAS=101.942886 | TRAIN_RMSE=1687.908317 | TRAIN_MAE=1025.233118 | SelAvg=20.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:30:52,135 - R8_iter1000_lr0.121_l21.66_leaf63 | VAL_RMSE=2183.945781 | VAL_MAE=1284.480105 | VAL_R2=0.949506 | VAL_BIAS=105.645968 | TRAIN_RMSE=1833.662916 | TRAIN_MAE=1116.495690 | SelAvg=20.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 10, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:32:36,701 - R9_iter600_lr0.098_l22.29_leaf127 | VAL_RMSE=2156.683969 | VAL_MAE=1260.875511 | VAL_R2=0.950762 | VAL_BIAS=100.878105 | TRAIN_RMSE=1742.122713 | TRAIN_MAE=1044.011584 | SelAvg=20.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:34:12,330 - R10_iter1000_lr0.106_l21.55_leaf63 | VAL_RMSE=2159.078663 | VAL_MAE=1267.324223 | VAL_R2=0.950694 | VAL_BIAS=103.430672 | TRAIN_RMSE=1771.521794 | TRAIN_MAE=1072.814427 | SelAvg=20.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:35:48,046 - R11_iter1500_lr0.087_l21.13_leaf63 | VAL_RMSE=2144.409039 | VAL_MAE=1262.492815 | VAL_R2=0.951330 | VAL_BIAS=103.834950 | TRAIN_RMSE=1744.530126 | TRAIN_MAE=1064.690264 | SelAvg=20.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 15, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.131578947368421), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:37:20,046 - R12_iter1500_lr0.095_l21.34_leaf63 | VAL_RMSE=2186.060437 | VAL_MAE=1277.342775 | VAL_R2=0.949393 | VAL_BIAS=108.433758 | TRAIN_RMSE=1846.809381 | TRAIN_MAE=1117.096066 | SelAvg=20.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 20, 'learning_rate': np.float64(0.09473684210526316), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-15 11:38:59,665 - R13_iter1000_lr0.128_l22.39_leaf127 | VAL_RMSE=2166.908227 | VAL_MAE=1266.224109 | VAL_R2=0.950277 | VAL_BIAS=99.729812 | TRAIN_RMSE=1733.093549 | TRAIN_MAE=1041.850502 | SelAvg=20.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
