config_id,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
15,4.0554607358408274,4157.945349837612,2647.2704617060353,0.8176416836660667,-6.307973572211507e-13,4183.365035974485,2653.5755146331358,0.8153471650366894,-0.05176089140432083,3418.4702753038105
12,3.072112998861753,4157.944761642597,2647.2835603317258,0.817641735278029,-3.325763080051407e-13,4183.368561301081,2653.5920809498857,0.815346859248018,-0.051773775205184336,3418.4803211254834
16,2.1711179456945007,4157.944213156939,2647.295802796058,0.8176417834065616,-6.298966588999139e-13,4183.373021124706,2653.608506302821,0.8153464716901345,-0.05168587654629064,3418.490763713763
9,1.762914118095948,4157.943968780617,2647.3014436745607,0.8176418048503309,3.193495457244821e-14,4183.375606131302,2653.6165039537873,0.8153462468056614,-0.05159194398350664,3418.496055042545
8,1.3354515629298973,4157.94372430656,2647.3074319125335,0.8176418263027894,-7.114515975120178e-13,4183.378834244806,2653.625378122228,0.8153459657838453,-0.05143746710598762,3418.502106183517
13,0.9437878277775371,4157.943521313634,2647.313033221516,0.8176418441153721,-5.069100255417191e-13,4183.3823982160875,2653.634076118823,0.8153456553275441,-0.05122525214399776,3418.5082371674553
4,0.5805225516094895,4157.943365892839,2647.318320938287,0.817641857753544,-4.060488755220604e-13,4183.3863832545085,2653.6427631223987,0.815345307995232,-0.050943355837265614,3418.5145731884536
18,0.38274944785163073,4157.943302215902,2647.3212396684366,0.8176418633412001,-8.044748059452937e-13,4183.388900348899,2653.6478011406143,0.8153450885175598,-0.05074401973156828,3418.518350744757
23,0.28994228538828754,4157.943279232299,2647.3226204136795,0.8176418653580135,-7.390219126080308e-13,4183.390181660052,2653.650252566637,0.8153449767700922,-0.05063680978053675,3418.520217113344
30,0.09547716114208056,4157.943249100056,2647.325540173587,0.8176418680021207,-1.0652712067895399e-13,4183.393104070588,2653.6555931258154,0.8153447218422194,-0.05037892206763406,3418.524348598202
5,0.07232633896483534,4157.943247397692,2647.3258906438637,0.8176418681515033,-1.5369417379160437e-13,4183.393475410607,2653.6562488164122,0.8153446894443462,-0.05034489271235909,3418.5248621135097
29,0.05872786613189477,4157.943246606268,2647.3260967579754,0.8176418682209508,-9.836900397531328e-13,4183.393696017178,2653.656636055827,0.8153446701968163,-0.05032454732211278,3418.5251660365025
21,0.054789011795939396,4157.943246406425,2647.326156495038,0.8176418682384872,-4.1955068892987823e-13,4183.393760264734,2653.656748514179,0.8153446645912591,-0.05031860414220546,3418.5252543894567
6,0.029331662783900425,4157.943245439974,2647.3265429719113,0.8176418683232933,-3.9377315434353675e-13,4183.394179324192,2653.6574785568287,0.8153446280277965,-0.05027964211983438,3418.52582894051
