config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_mean,mae_mean,r2_mean,bias_mean,combo_score
17,0.6,0.18047217668271703,4160.47440393473,2624.759798382981,0.8174197568791942,-2.6860159434458317e-13,4187.685426330122,2632.1264672483812,0.8149605679440266,0.37409394249042904,3409.9059467892516
46,0.8,0.3665241237079626,4161.086398668977,2624.761008537671,0.817366038902361,3.710525447887917e-13,4188.323710138366,2632.142760687346,0.8149041082382447,0.3746084174688331,3410.2332354128557
22,0.7000000000000001,0.28942661247167517,4167.85722671082,2625.0838167347583,0.8167712004100223,-1.2037043407483034e-14,4195.372280053527,2632.5994964466677,0.814280078497307,0.381044661257965,3413.9858882500976
41,0.1,0.11253355826007645,4175.491480998409,2625.984269252768,0.8160993475100526,1.1178710451576997e-13,4203.28688023572,2633.624334205457,0.8135781304118676,0.3879216808854098,3418.4556072205887
1,0.9,0.28942661247167517,4142.705623970993,2628.7323289012274,0.8189759785595156,-7.572916886347268e-14,4168.911073677322,2635.690606702504,0.8166175438669536,0.35526763272381157,3402.300840189913
45,0.5,0.05541020330009492,4142.252955133766,2629.039879271016,0.8190155374554582,5.262795848379482e-13,4168.422787460614,2635.987974039891,0.8166605592678178,0.354868424424418,3402.2053807502525
27,0.4,0.043754793750741844,4141.793855587415,2629.368080889685,0.8190556540361894,-9.77756528649111e-14,4167.926061217084,2636.308192684928,0.8167043130406606,0.3543765629609714,3402.117126951006
16,0.1,0.02728333376486768,4141.27058635918,2629.7743193588935,0.8191013724750441,-2.0696393813361925e-13,4167.358461727107,2636.701457707182,0.8167543074109892,0.3538178780429604,3402.0299597171443
34,0.5,0.043754793750741844,4140.486291398485,2630.4558869703887,0.8191698862898626,4.838403816999254e-13,4166.504269688334,2637.362240346923,0.8168295418095732,0.3530035626643322,3401.9332550176287
13,0.4,0.22854638641349906,4196.157830358383,2630.365111967182,0.8142744354575593,-1.0193620550926103e-12,4224.595577860033,2638.2836360917113,0.811681674684632,0.4046560570613966,3431.4396069758723
19,0.5,0.03455107294592218,4139.2285295674865,2631.793400175614,0.819279734234859,-4.681622329841938e-13,4165.12404259203,2638.6666313682435,0.8169511124652107,0.3517466222057468,3401.8953369801366
44,0.1,0.017012542798525893,4138.730801392858,2632.434577383561,0.8193231948323193,-2.705506768923835e-14,4164.573251749738,2639.2964994388617,0.8169996338169487,0.35126051139695047,3401.9348755943
15,0.30000000000000004,0.021544346900318832,4138.675328009941,2632.5108607510456,0.819328038340765,-1.0533978898172914e-13,4164.511643766739,2639.3716986061436,0.8170050615460597,0.35120991180169003,3401.9416711864415
26,0.5,0.28942661247167517,4200.756119282654,2631.6140573236835,0.8138671647092814,3.356360299779535e-13,4229.320345488881,2639.594638073304,0.8112598745542181,0.4081114137594781,3434.4574917810924
21,0.6,0.03455107294592218,4138.376302350654,2632.9451720407496,0.8193541458680056,4.848055284207943e-13,4164.178794414835,2639.7992750471076,0.8170343883260731,0.35093248440266755,3401.989034730971
40,0.1,0.010608183551394482,4137.445083521507,2634.616995706339,0.819435437614112,-1.2277854571677009e-13,4163.131759580518,2641.4571395081884,0.8171266807014209,0.3499464599459632,3402.294449544353
53,0.30000000000000004,0.22854638641349906,4210.078006934378,2634.3904126282137,0.813040155544591,-3.5206789801127594e-13,4238.885459567127,2642.4782888714435,0.8104045125347871,0.41494077255728,3440.6818742192854
35,0.6,0.017012542798525893,4136.937682347294,2635.85798175908,0.8194797243745393,-9.325864599216667e-13,4162.551717132606,2642.676662908387,0.8171778563135805,0.3491561011807711,3402.6141900204966
11,0.2,0.008376776400682916,4136.91825992456,2635.910775302178,0.8194814194885278,-6.187070772585261e-13,4162.529444889578,2642.7281898674746,0.8171798230788603,0.34910321956673585,3402.6288173785265
39,0.5,0.010608183551394482,4136.690783219703,2636.6110227031722,0.8195012722410098,3.646076958728873e-14,4162.266298480428,2643.4172009958725,0.8172030618993221,0.3484721780944744,3402.8417497381506
