config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,rmse_mean,mae_mean,r2_mean,combo_score
21,800,4,1,0.6,25.0,False,966.3029013149461,587.935306826151,0.9901490519327258,2181.723539878467,1274.3301426780527,0.9495876479199957,1728.0268412782598
120,1000,6,1,0.6,25.0,False,1198.9521301318127,732.2977147934854,0.9848341284730369,2184.7431708037466,1275.7462132436128,0.9494605631758566,1730.2446920236798
104,1200,6,1,0.6,25.0,False,1199.0385040891256,732.1650793929854,0.9848318048354039,2184.7879253496885,1275.818251571941,0.9494597542477152,1730.3030884608147
95,1000,6,1,0.6,,False,1098.1007703264045,658.5027518941918,0.9872765152690206,2190.1387762913228,1276.0348405375498,0.9492081652008697,1733.0868084144363
15,1200,6,1,0.6,,False,1098.1451183939403,658.4332271281601,0.98727538577269,2189.5779602220905,1276.0775138177983,0.9492348136451875,1732.8277370199444
107,1200,3,1,0.6,25.0,False,795.1625813116138,473.65800994285166,0.993330101595046,2182.292975711862,1276.863868548834,0.9495625313787617,1729.578422130348
114,1000,3,1,0.6,25.0,False,795.464544050272,473.85352817809155,0.9933250231419137,2182.404204904907,1277.0053239570316,0.9495570269374681,1729.7047644309694
91,1000,4,1,0.5,25.0,False,1007.1148154400365,616.2149002276954,0.9892995808264426,2194.7383908520997,1279.971321966532,0.9490008225543916,1737.3548564093157
101,800,8,1,0.6,,False,1286.3734153694672,772.8651358653683,0.9825414157636687,2200.530819599287,1280.752318964589,0.9487308867157846,1740.641569281938
130,1200,3,1,0.5,25.0,False,834.9795436546683,503.21660663114,0.9926452752838086,2196.795352581465,1282.246743848508,0.9489038575380546,1739.5210482149864
106,1000,6,1,0.5,,False,1128.7060403241549,677.0655906173179,0.9865576102941733,2207.491949021071,1282.715281335883,0.9484085096824058,1745.103615178477
45,800,6,1,0.5,,False,1128.7785111586559,677.166296226103,0.9865558317018872,2208.3792068679195,1283.0409807603546,0.9483652485164482,1745.710093814137
78,1000,8,1,0.6,25.0,False,1356.3248746547115,826.35345952143,0.9805921417314243,2201.506806313245,1283.3319696855665,0.9486890536795963,1742.4193879994057
148,1000,4,1,0.5,,False,821.6436964438407,488.34307235672793,0.992875803794165,2206.0252769227386,1285.7939877840604,0.9484772429127284,1745.9096323533995
133,1200,4,1,0.5,,False,821.6386236497744,488.29885034624726,0.9928758995623896,2206.7381736977,1285.9123080507884,0.9484457750533076,1746.3252408742442
147,1200,8,1,0.5,,False,1317.577064527155,791.3403364173816,0.9816844748025588,2218.8040526254927,1288.1041940055566,0.9478903246758476,1753.4541233155246
12,800,8,1,0.5,,False,1317.9382722183732,791.5190334250531,0.9816744509408701,2218.062774959056,1288.4030407865596,0.9479250674903985,1753.2329078728076
26,1000,8,1,0.5,25.0,False,1396.660161074114,851.9378026289426,0.9794210590123866,2223.688171667777,1293.3341103799294,0.9476571897083811,1758.5111410238533
