config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R6_iter1000_lr0.121_l22.39_leaf127,2138.9464625170604,1656.389979648584,1254.9630789671219,1000.7319188113928,0.9515831936567529,0.97101373147144,103.2139627486727,82.26540821799443,17.0,25.0,20,127,1000,25.0,0.12052631578947368,2.394736842105263,255,42
R7_iter800_lr0.087_l21.24_leaf127,2146.2932464547907,1682.1274248633063,1255.6291976911093,1019.793926724211,0.9512057149708882,0.9701045572637521,102.68759856662237,83.74394013702428,17.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R8_iter1000_lr0.121_l21.66_leaf63,2157.920750585206,1806.6627598441091,1277.7290127584447,1101.8124858714418,0.9507235738159794,0.9655121978769352,101.91748987037988,89.62235928969179,17.0,25.0,30,63,1000,10.0,0.12052631578947368,1.6578947368421053,255,42
R9_iter600_lr0.098_l22.29_leaf127,2160.8654642554843,1753.9365854009552,1263.816193941987,1053.0959151677578,0.9505827214330766,0.9675264253682981,104.62173891167207,86.50059842416584,17.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R34_iter1500_lr0.139_l21.03_leaf127,2162.5742542862035,1662.200824687424,1258.1064934334208,1006.4414632891512,0.9504730639514212,0.9708298944846663,99.67758962211516,81.86009926813693,17.0,25.0,20,127,1500,25.0,0.13894736842105262,1.026315789473684,255,42
R11_iter1500_lr0.087_l21.13_leaf63,2163.110780400917,1803.5257558343628,1275.2620673187193,1102.3792037892645,0.9505304975426704,0.9656500073607531,106.01197890700956,93.02038534179619,17.0,25.0,20,63,1500,15.0,0.08736842105263158,1.131578947368421,255,42
R1_iter600_lr0.128_l20.61_leaf127,2164.811903802391,1761.1535515853154,1268.102162326637,1056.4433701669927,0.9503764212948453,0.9672633356827341,101.88955483114322,86.12433646534078,17.0,25.0,40,127,600,25.0,0.12789473684210526,0.6052631578947368,255,42
R5_iter1000_lr0.132_l22.29_leaf127,2164.863202631358,1728.9507559750464,1265.2725843478859,1042.0264960221868,0.9503863188293292,0.9684324062477758,103.2675363027871,85.00459395462289,17.0,25.0,30,127,1000,,0.13157894736842105,2.289473684210526,255,42
R13_iter1000_lr0.128_l22.39_leaf127,2165.1565444183657,1723.9952643242732,1266.7200023501043,1037.3053676762781,0.9503713010275106,0.9686145238732872,101.99949550869289,83.79512105670435,17.0,25.0,40,127,1000,25.0,0.12789473684210526,2.394736842105263,255,42
R29_iter1500_lr0.087_l21.97_leaf63,2165.7090226981522,1795.3476906999208,1274.2149839408407,1098.9205656372706,0.9503715256254635,0.9659669661610539,106.15461958595475,91.15445031106064,17.0,25.0,20,63,1500,10.0,0.08736842105263158,1.9736842105263157,255,42
R27_iter1500_lr0.091_l20.61_leaf63,2169.016867134723,1799.4977431924997,1270.672758479366,1091.9867131256574,0.9502239922655227,0.96577574973359,105.31289799362997,91.19673991307081,17.0,25.0,30,63,1500,,0.09105263157894737,0.6052631578947368,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2171.266005549304,1738.4822082197702,1264.670716310217,1048.3356793270177,0.9500897996889053,0.9680767142389339,103.94227061468555,86.58947844663552,17.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R30_iter600_lr0.106_l21.03_leaf127,2172.067702290457,1773.823481488179,1267.8926999716105,1062.7461388697473,0.950092960383341,0.9667598617004168,104.06268273308197,87.93239686022068,17.0,25.0,40,127,600,,0.10578947368421052,1.026315789473684,255,42
R26_iter1500_lr0.091_l20.82_leaf63,2174.8478571178584,1830.7700996533356,1283.4436339485837,1120.0144675463748,0.949915561006946,0.9645062077275113,108.14795754499666,94.1862257061155,17.0,25.0,20,63,1500,10.0,0.09105263157894737,0.8157894736842105,255,42
R32_iter1000_lr0.143_l22.08_leaf63,2175.071703274456,1789.5837773893022,1275.7748324458762,1086.1495014372929,0.9499430261716263,0.9661683523058301,102.08803421840645,88.97636992883477,17.0,25.0,30,63,1000,20.0,0.14263157894736841,2.0789473684210527,255,42
R12_iter1500_lr0.095_l21.34_leaf63,2175.593818232439,1839.2979764571905,1275.41866827224,1112.401615068283,0.94989359042479,0.9642686789928447,106.99013145566053,93.00524159479953,17.0,25.0,40,63,1500,20.0,0.09473684210526316,1.3421052631578947,255,42
R21_iter800_lr0.139_l22.50_leaf63,2177.039961139121,1822.1970834108854,1280.56158315739,1104.7253960356488,0.9498450051573257,0.9648962989762038,103.35117830045623,89.95867426697477,17.0,25.0,40,63,800,15.0,0.13894736842105262,2.5,255,42
R15_iter600_lr0.124_l22.50_leaf63,2183.1081820109284,1828.0613912609979,1279.8490255030056,1108.5997410575787,0.9495697603420341,0.9646765192693281,106.18703300902996,91.69369246229664,17.0,25.0,40,63,600,20.0,0.12421052631578947,2.5,255,42
R4_iter1000_lr0.087_l21.76_leaf31,2183.811526338256,1898.850305613426,1294.705046495159,1164.1851760900072,0.9495822402294025,0.9619043883247231,111.87470437980704,100.23843402131942,17.0,25.0,20,31,1000,,0.08736842105263158,1.763157894736842,255,42
R10_iter1000_lr0.106_l21.55_leaf63,2184.3955861606537,1807.2251071131645,1278.6693022894322,1096.548177710695,0.9494882893438826,0.9655068053876357,106.77866161033002,91.28086271102178,17.0,25.0,30,63,1000,25.0,0.10578947368421052,1.5526315789473684,255,42
R28_iter800_lr0.143_l21.97_leaf31,2187.8929590800417,1909.2015485536356,1302.8108290859072,1171.0229373432367,0.949369306668997,0.9615307169289462,110.03379137011058,98.88014293536804,17.0,25.0,20,31,800,10.0,0.14263157894736841,1.9736842105263157,255,42
R22_iter800_lr0.124_l21.66_leaf127,2189.4729538879533,1814.5572401622776,1281.3626092086674,1097.9008930521675,0.9492159181171911,0.9652048809707383,104.53573137839044,89.5973562422965,17.0,25.0,40,127,800,15.0,0.12421052631578947,1.6578947368421053,255,42
R18_iter800_lr0.121_l21.03_leaf63,2192.3083237851015,1875.6543148097503,1290.902154725916,1141.1149271317097,0.9491547371789055,0.9628380394642875,106.75575526528425,93.99406096468907,17.0,25.0,40,63,800,10.0,0.12052631578947368,1.026315789473684,255,42
R19_iter600_lr0.113_l21.24_leaf31,2197.258498132932,1932.9602119515077,1301.7055768051343,1177.762700293259,0.9489512375115315,0.9605538691227073,110.46444419514819,100.34622619083297,17.0,25.0,30,31,600,15.0,0.1131578947368421,1.236842105263158,255,42
R17_iter1500_lr0.109_l22.18_leaf31,2197.3467772505933,1927.853701452928,1300.785083448211,1175.685033956097,0.9489366511357007,0.9607602533322848,110.67208634687532,100.16781377836219,17.0,25.0,30,31,1500,,0.1094736842105263,2.1842105263157894,255,42
R31_iter1500_lr0.098_l21.76_leaf31,2197.6884032063854,1941.7850239259883,1301.5648243647922,1182.8280743332089,0.9489420873433794,0.960189995237043,114.59310267406934,101.85659351594364,17.0,25.0,30,31,1500,,0.09842105263157895,1.763157894736842,255,42
R2_iter600_lr0.102_l22.29_leaf31,2198.127492589587,1928.8652739633935,1305.9839736891313,1182.3170256417466,0.9489459288272915,0.9607201781423453,112.53376573378874,101.90681431196452,17.0,25.0,20,31,600,25.0,0.10210526315789473,2.289473684210526,255,42
R23_iter800_lr0.117_l20.50_leaf31,2200.004462631353,1920.2625782702253,1302.8159338633232,1178.3681218377146,0.9487950035946068,0.9610701656510791,112.50801731608642,101.10773483099175,17.0,25.0,20,31,800,,0.11684210526315789,0.5,255,42
R14_iter1500_lr0.084_l20.82_leaf31,2202.8779842384747,1909.105423971003,1303.9035689991094,1173.5160214654861,0.948636545970775,0.9614855583513717,114.21097752850308,101.47240158631836,17.0,25.0,20,31,1500,,0.08368421052631579,0.8157894736842105,255,42
R33_iter600_lr0.143_l20.61_leaf31,2203.392188427469,1916.731251269748,1302.8317485026473,1171.0244770374889,0.9486621700370381,0.961189049488998,110.0782498238386,98.35578507872457,17.0,25.0,30,31,600,25.0,0.14263157894736841,0.6052631578947368,255,42
R24_iter600_lr0.087_l20.61_leaf31,2211.9823274371824,1962.6812867576064,1315.4968341765334,1202.663278608979,0.9482553671632461,0.9593569570832937,116.76494871755847,104.47751898122321,17.0,25.0,20,31,600,10.0,0.08736842105263158,0.6052631578947368,255,42
R16_iter600_lr0.109_l21.55_leaf31,2215.0950415882708,1958.3720215445433,1308.1868262519704,1190.2911174225758,0.9481089062619084,0.9595196703283396,110.26502980591513,101.95512403471659,17.0,25.0,40,31,600,25.0,0.1094736842105263,1.5526315789473684,255,42
R0_iter600_lr0.106_l21.24_leaf31,2216.699648816853,1964.3253207420034,1308.6729437397964,1193.4923782150036,0.9479940933220199,0.9592911492899642,111.37628713428407,102.44072022217294,17.0,25.0,40,31,600,15.0,0.10578947368421052,1.236842105263158,255,42
R25_iter1000_lr0.102_l22.29_leaf31,2222.066691422158,1973.6570223514777,1312.1004556710168,1198.780106730565,0.9477874797377702,0.9588560560420543,116.93279098144855,103.4584356686525,17.0,25.0,40,31,1000,20.0,0.10210526315789473,2.289473684210526,255,42
R20_iter600_lr0.087_l22.29_leaf31,2225.1653687574717,1994.9623852322543,1315.2742529836132,1208.6301121029408,0.9476262145729644,0.9580133624781275,115.58171031224954,105.29480308932878,17.0,25.0,40,31,600,20.0,0.08736842105263158,2.289473684210526,255,42
